SUMLEV,REGION,DIVISION,STATE,NAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE2020,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,NPOPCHG_2013,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,NPOPCHG_2017,NPOPCHG_2018,NPOPCHG_2019,NPOPCHG_2020,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,BIRTHS2017,BIRTHS2018,BIRTHS2019,BIRTHS2020,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,DEATHS2017,DEATHS2018,DEATHS2019,DEATHS2020,NATURALINC2010,NATURALINC2011,NATURALINC2012,NATURALINC2013,NATURALINC2014,NATURALINC2015,NATURALINC2016,NATURALINC2017,NATURALINC2018,NATURALINC2019,NATURALINC2020,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,INTERNATIONALMIG2013,INTERNATIONALMIG2014,INTERNATIONALMIG2015,INTERNATIONALMIG2016,INTERNATIONALMIG2017,INTERNATIONALMIG2018,INTERNATIONALMIG2019,INTERNATIONALMIG2020,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,DOMESTICMIG2013,DOMESTICMIG2014,DOMESTICMIG2015,DOMESTICMIG2016,DOMESTICMIG2017,DOMESTICMIG2018,DOMESTICMIG2019,DOMESTICMIG2020,NETMIG2010,NETMIG2011,NETMIG2012,NETMIG2013,NETMIG2014,NETMIG2015,NETMIG2016,NETMIG2017,NETMIG2018,NETMIG2019,NETMIG2020,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,RESIDUAL2016,RESIDUAL2017,RESIDUAL2018,RESIDUAL2019,RESIDUAL2020,RBIRTH2011,RBIRTH2012,RBIRTH2013,RBIRTH2014,RBIRTH2015,RBIRTH2016,RBIRTH2017,RBIRTH2018,RBIRTH2019,RBIRTH2020,RDEATH2011,RDEATH2012,RDEATH2013,RDEATH2014,RDEATH2015,RDEATH2016,RDEATH2017,RDEATH2018,RDEATH2019,RDEATH2020,RNATURALINC2011,RNATURALINC2012,RNATURALINC2013,RNATURALINC2014,RNATURALINC2015,RNATURALINC2016,RNATURALINC2017,RNATURALINC2018,RNATURALINC2019,RNATURALINC2020,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RINTERNATIONALMIG2013,RINTERNATIONALMIG2014,RINTERNATIONALMIG2015,RINTERNATIONALMIG2016,RINTERNATIONALMIG2017,RINTERNATIONALMIG2018,RINTERNATIONALMIG2019,RINTERNATIONALMIG2020,RDOMESTICMIG2011,RDOMESTICMIG2012,RDOMESTICMIG2013,RDOMESTICMIG2014,RDOMESTICMIG2015,RDOMESTICMIG2016,RDOMESTICMIG2017,RDOMESTICMIG2018,RDOMESTICMIG2019,RDOMESTICMIG2020,RNETMIG2011,RNETMIG2012,RNETMIG2013,RNETMIG2014,RNETMIG2015,RNETMIG2016,RNETMIG2017,RNETMIG2018,RNETMIG2019,RNETMIG2020
10,0,0,0,United States,308745538,308758105,309327143,311583481,313877662,316059947,318386329,320738994,323071755,325122128,326838199,328329953,329484123,569038,2256338,2294181,2182285,2326382,2352665,2332761,2050373,1716071,1491754,1154170,987836,3973485,3936976,3940576,3963195,3992376,3970959,3890144,3835477,3770397,3748000,598691,2512442,2501531,2608019,2582448,2699826,2703215,2788163,2839277,2847282,3070859,389145,1461043,1435445,1332557,1380747,1292550,1267744,1101981,996200,923115,677141,179893,795295,858736,849728,945635,1060115,1065017,948392,719871,568639,477029,0,0,0,0,0,0,0,0,0,0,0,179893,795295,858736,849728,945635,1060115,1065017,948392,719871,568639,477029,0,0,0,0,0,0,0,0,0,0,0,12.79889519,12.58903465,12.51100409,12.49339826,12.49324931,12.3357959,12.00302595,11.76598281,11.50970782,11.39531712,8.092765377,7.998997309,8.280245417,8.140793311,8.448502673,8.39754541,8.602867362,8.709968636,8.691759486,9.336556064,4.706129815,4.590037338,4.230758669,4.352604948,4.044746636,3.938250494,3.400158591,3.056014174,2.81794833,2.058761053,2.561705242,2.745929174,2.69781638,2.980977384,3.317393199,3.308478467,2.926260259,2.208327624,1.73585666,1.450345979,0,0,0,0,0,0,0,0,0,0,2.561705242,2.745929174,2.69781638,2.980977384,3.317393199,3.308478467,2.926260259,2.208327624,1.73585666,1.450345979
20,1,0,0,Northeast Region,55317240,55318414,55380764,55608318,55782661,55912775,56021339,56052790,56063777,56083383,56084543,56002934,55849869,62350,227554,174343,130114,108564,31451,10987,19606,1160,-81609,-153065,163442,646239,637873,635759,632459,634489,628369,617613,614504,602339,596481,110881,470823,460924,479975,470295,489218,480500,497835,500118,506780,544339,52561,175416,176949,155784,162164,145271,147869,119778,114386,95559,52142,45932,207972,208615,194958,223151,227682,237250,217718,183354,127612,109665,-32967,-155177,-207339,-217649,-273783,-340428,-373819,-317167,-295991,-304750,-315166,12965,52795,1276,-22691,-50632,-112746,-136569,-99449,-112637,-177138,-205501,-3176,-657,-3882,-2979,-2968,-1074,-313,-723,-589,-30,294,11.64509136,11.45286639,11.38379549,11.30055847,11.32266663,11.20920872,11.01433153,10.95685767,10.74765917,10.66546361,8.4841318,8.275786857,8.594352951,8.403068255,8.730257453,8.571436191,8.878245334,8.917308501,9.042580198,9.73313114,3.160959562,3.177079537,2.789442534,2.897490215,2.592409172,2.637772525,2.136086193,2.039549167,1.705078972,0.932332469,3.74761186,3.745635452,3.490885697,3.987184818,4.063060798,4.232202365,3.882719812,3.269276816,2.27700727,1.960880676,-2.796257023,-3.722725159,-3.89718699,-4.891859867,-6.075050559,-6.668398971,-5.656264501,-5.277640598,-5.437717186,-5.635370622,0.951354837,0.022910293,-0.406301292,-0.904675048,-2.011989761,-2.436196606,-1.773544689,-2.008363781,-3.160709916,-3.674489946
20,2,0,0,Midwest Region,66927001,66929737,66975328,67164092,67348275,67576524,67765576,67885682,68018175,68160342,68263019,68340091,68316744,45591,188764,184183,228249,189052,120106,132493,142167,102677,77072,-23347,212599,834852,830699,830845,836493,838071,832757,816921,807621,791161,784823,140865,586658,584692,605159,596873,626080,619207,640351,649554,632063,671590,71734,248194,246007,225686,239620,211991,213550,176570,158067,159098,113233,25805,120105,123734,129350,136737,145029,147575,129389,99658,84709,70234,-50899,-179384,-183963,-125141,-183942,-234593,-227495,-162566,-154266,-167058,-207685,-25094,-59279,-60229,4209,-47205,-89564,-79920,-33177,-54608,-82349,-137451,-1049,-151,-1595,-1646,-3363,-2321,-1137,-1226,-782,323,871,12.44752661,12.35126581,12.31567519,12.36116478,12.35625843,12.25509001,11.99779551,11.83992234,11.58335268,11.48604093,8.746988767,8.693505483,8.970315383,8.820211893,9.230728992,9.112427177,9.404581781,9.522621276,9.254006003,9.82885342,3.700537843,3.657760331,3.34535981,3.540952889,3.125529437,3.142662831,2.59321373,2.317301067,2.329346675,1.657187509,1.79074876,1.83974162,1.917364354,2.02061295,2.138262514,2.171755876,1.90028505,1.461010772,1.240220666,1.027888579,-2.674590363,-2.735257792,-1.854974044,-2.718178601,-3.458766302,-3.347881437,-2.387542523,-2.261577473,-2.445888677,-3.039511342,-0.883841603,-0.895516172,0.06239031,-0.69756565,-1.320503788,-1.176125561,-0.487257472,-0.800566701,-1.205668012,-2.011622763
20,3,0,0,South Region,114555744,114563042,114869421,116019483,117264196,118397213,119666248,121049223,122419547,123611036,124649156,125686544,126662754,306379,1150062,1244713,1133017,1269035,1382975,1370324,1191489,1038120,1037388,976210,368739,1509643,1505006,1504774,1525284,1545672,1548340,1511014,1502640,1479176,1473609,228461,963068,960777,1011227,1006153,1052270,1058139,1092576,1122210,1127041,1220309,140278,546575,544229,493547,519131,493402,490201,418438,380430,352135,253300,70282,290140,348120,333217,368573,431749,437854,404211,307884,263883,221183,91071,312264,344084,299940,373734,453592,441153,367414,348982,421992,503502,161353,602404,692204,633157,742307,885341,879007,771625,656866,685875,724685,4748,1083,8280,6313,7597,4232,1116,1426,824,-622,-1775,13.07679125,12.9027972,12.77064417,12.81409582,12.8423154,12.71900293,12.28313961,12.10536404,11.81753941,11.67912106,8.342263169,8.236984294,8.582033047,8.452813345,8.742853092,8.692194896,8.881627533,9.040595602,9.00423711,9.671586247,4.734528083,4.665812905,4.188611127,4.361282473,4.099462307,4.026808038,3.40151208,3.064768435,2.813302298,2.00753481,2.513243339,2.984520833,2.827930134,3.096426461,3.587214384,3.596798062,3.285859791,2.480333214,2.108233065,1.752990809,2.70488529,2.949919184,2.545516479,3.139784648,3.768698357,3.623898047,2.986734377,2.811421333,3.371408872,3.990516352,5.218128629,5.934440017,5.373446613,6.236211108,7.355912741,7.220696108,6.272594168,5.291754548,5.479641937,5.743507161
20,4,0,0,West Region,71945553,71946912,72101630,72791588,73482530,74173435,74933166,75751299,76570256,77267367,77841481,78300384,78654756,154718,689958,690942,690905,759731,818133,818957,697111,574114,458903,354372,243056,982751,963398,969198,968959,974144,961493,944596,910712,897721,893087,118484,491893,495138,511658,509127,532258,545369,557401,567395,581398,634621,124572,490858,468260,457540,459832,441886,416124,387195,343317,316323,258466,37874,177078,178267,192203,217174,255655,242338,197074,128975,92435,75947,-7205,22297,47218,42850,83991,121429,160161,112319,101275,49816,19349,30669,199375,225485,235053,301165,377084,402499,309393,230250,142251,95296,-523,-275,-2803,-1688,-1266,-837,334,523,547,329,610,13.56517598,13.17250124,13.12778661,12.99686256,12.92958767,12.6245166,12.28042896,11.7428762,11.4987867,11.38015614,6.78973118,6.770001512,6.930407451,6.829033679,7.064537144,7.160759355,7.246614828,7.316088119,7.447048234,8.086654569,6.775444797,6.402499723,6.197379158,6.167828881,5.865050521,5.463757247,5.033814128,4.426788084,4.051738462,3.29350157,2.444255189,2.43743736,2.603389575,2.913003161,3.393249596,3.18192655,2.56210407,1.663025697,1.183987395,0.967754226,0.307771479,0.645609772,0.580403237,1.126589962,1.61169899,2.102932838,1.46022797,1.305857162,0.638086397,0.246554525,2.752026668,3.083047132,3.183792812,4.039593123,5.004948586,5.284859388,4.02233204,2.968882858,1.822073792,1.214308751
40,3,6,1,Alabama,4779736,4780118,4785514,4799642,4816632,4831586,4843737,4854803,4866824,4877989,4891628,4907965,4921532,5396,14128,16990,14954,12151,11066,12021,11165,13639,16337,13567,14202,59699,59074,57943,58914,59653,59695,58644,58665,57251,56739,11077,48837,48363,50853,49720,51878,51711,53196,54560,54038,58354,3125,10862,10711,7090,9194,7775,7984,5448,4105,3213,-1615,1053,5162,6282,5494,4159,5095,6301,3546,3940,2293,2078,1225,-1903,-114,2294,-996,-1553,-2148,2287,5664,10828,13115,2278,3259,6168,7788,3163,3542,4153,5833,9604,13121,15193,-7,7,111,76,-206,-251,-116,-116,-70,3,-11,12.45655261,12.28625557,12.01112993,12.17819808,12.30143919,12.28086616,12.03594158,12.00968267,11.68436281,11.54463957,10.19013149,10.05857362,10.54142848,10.27769306,10.69810508,10.63834274,10.91780827,11.1693222,11.02862129,11.87324234,2.26642112,2.227681948,1.469701452,1.900505027,1.60333411,1.642523417,1.118133309,0.840360477,0.655741519,-0.328602776,1.077082105,1.306535151,1.138863156,0.859712901,1.050673607,1.296285077,0.72777179,0.806582285,0.467978619,0.422809021,-0.397072306,-0.023709807,0.475528227,-0.205884599,-0.320254389,-0.44190134,0.469377914,1.159513213,2.209887696,2.668498703,0.680009799,1.282825344,1.614391383,0.653828301,0.730419218,0.854383736,1.197149704,1.966095498,2.677866316,3.091307724
40,4,9,2,Alaska,710231,710246,713982,722349,730810,737626,737075,738430,742575,740983,736624,733603,731158,3736,8367,8461,6816,-551,1355,4145,-1592,-4359,-3021,-2445,2902,11712,11126,11349,11447,11347,11284,10757,10374,9860,9733,899,3922,3923,4038,4007,4337,4426,4429,4435,4748,5249,2003,7790,7203,7311,7440,7010,6858,6328,5939,5112,4484,480,1442,2482,2995,1343,2417,2442,2792,742,1232,1078,1163,-888,-1324,-3502,-9585,-8197,-5194,-10765,-11078,-9355,-7980,1643,554,1158,-507,-8242,-5780,-2752,-7973,-10336,-8123,-6902,90,23,100,12,251,125,39,53,38,-10,-27,16.30821865,15.31284601,15.45726201,15.52450293,15.38049685,15.23830102,14.5016238,14.04162271,13.41289474,13.28954007,5.461136744,5.399271518,5.499728963,5.434321941,5.878665271,5.97702236,5.970781055,6.002949363,6.458866556,7.167039538,10.84708191,9.913574495,9.957533049,10.09018099,9.501831576,9.261278659,8.530842744,8.038673341,6.954028188,6.122500531,2.007893724,3.416006094,4.079169947,1.821386166,3.276166465,3.297760642,3.763924296,1.00432659,1.675931676,1.471912483,-1.236483791,-1.822236933,-4.769700552,-12.99924527,-11.11077224,-7.014155928,-14.51240868,-14.99451478,-12.725926,-10.89597552,0.771409933,1.593769161,-0.690530605,-11.1778591,-7.834605779,-3.716395286,-10.74848439,-13.99018819,-11.04999432,-9.424063038
40,4,8,4,Arizona,6392017,6392292,6407342,6473416,6556344,6634690,6732873,6832810,6944767,7048088,7164228,7291843,7421401,15050,66074,82928,78346,98183,99937,111957,103321,116140,127615,129558,20951,86097,85581,86097,86129,86755,84736,83156,81134,81294,81451,11506,48173,48748,50612,50241,52843,56023,56320,59212,61049,66385,9445,37924,36833,35485,35888,33912,28713,26836,21922,20245,15066,2723,17104,15673,18580,21867,20141,20694,13662,8180,11618,9272,3110,11042,29856,24017,39905,45608,62460,62648,85777,95805,105434,5833,28146,45529,42597,61772,65749,83154,76310,93957,107423,114706,-228,4,566,264,523,276,90,175,261,-53,-214,13.36831264,13.13623582,13.05386674,12.88626805,12.79036227,12.30056635,11.88549442,11.41742134,11.24703939,11.07179355,7.479839308,7.482562994,7.673697149,7.516852548,7.790687723,8.132489479,8.04982257,8.332491341,8.446140034,9.023842737,5.888473334,5.653672823,5.380169591,5.369415502,4.999674546,4.168076869,3.835671848,3.08493,2.800899359,2.047950812,2.655744328,2.405723513,2.817064985,3.271650936,2.969404489,3.004011518,1.952710866,1.151114287,1.607352371,1.260361073,1.714495374,4.58273982,3.641412796,5.970422582,6.724025617,9.066906322,8.954284169,12.07079831,13.25463883,14.33184959,4.370239702,6.988463333,6.458477781,9.242073518,9.693430106,12.07091784,10.90699503,13.2219126,14.8619912,15.59221066
40,3,7,5,Arkansas,2915918,2916029,2921998,2941038,2952876,2960459,2968759,2979732,2991815,3003855,3012161,3020985,3030522,5969,19040,11838,7583,8300,10973,12083,12040,8306,8824,9537,9446,38430,38609,37986,38239,38794,38611,37694,37587,36604,36332,7024,29439,29715,30972,29970,31320,31140,32328,32797,31465,33832,2422,8991,8894,7014,8269,7474,7471,5366,4790,5139,2500,880,4010,4017,2627,3424,3620,3700,2503,1052,1668,1517,2460,5983,-1305,-2144,-3401,-94,943,4170,2449,2028,5550,3340,9993,2712,483,23,3526,4643,6673,3501,3696,7067,207,56,232,86,8,-27,-31,1,15,-11,-30,13.1092492,13.10131095,12.84757248,12.8984969,13.04330796,12.93165741,12.57374072,12.49564496,12.13429942,12.00758753,10.0422375,10.08328252,10.47530708,10.10925893,10.53040174,10.42945823,10.7837823,10.90322898,10.43071061,11.18134706,3.067011698,3.018028427,2.372265397,2.789237974,2.512906214,2.502199179,1.78995842,1.592415978,1.703588808,0.826240472,1.367891993,1.363100989,0.888500313,1.154958377,1.2171154,1.239209873,0.834935879,0.349733112,0.552945346,0.501362718,2.040922143,-0.442829671,-0.72514072,-1.147200187,-0.031604654,0.315831057,1.391003841,0.814160069,0.672286068,1.834253848,3.408814137,0.920271317,0.163359593,0.00775819,1.185510746,1.55504093,2.22593972,1.163893181,1.225231413,2.335616566
40,4,9,6,California,37253956,37254522,37319550,37636311,37944551,38253768,38586706,38904296,39149186,39337785,39437463,39437610,39368078,65028,316761,308240,309217,332938,317590,244890,188599,99678,147,-69532,123328,509748,497428,499632,498931,500368,489146,482694,462012,452438,448160,57317,238381,239541,247702,244044,253789,260115,265216,270180,277722,304961,66011,271367,257887,251930,254887,246579,229031,217478,191832,174716,143199,19063,96569,95561,113526,127975,153571,138763,109976,68369,33553,28803,-19639,-50732,-41300,-53388,-46407,-80121,-122220,-138211,-160192,-208407,-242313,-576,45837,54261,60138,81568,73450,16543,-28235,-91823,-174854,-213510,-407,-443,-3908,-2851,-3517,-2439,-684,-644,-331,285,779,13.60128463,13.16280304,13.11399009,12.98615102,12.91422196,12.53361125,12.29997779,11.72987739,11.47226831,11.3737983,6.360569989,6.338668114,6.501508255,6.351964981,6.550154042,6.665045385,6.758217233,6.85951506,7.042072722,7.73956824,7.240714639,6.824134925,6.612481832,6.634186041,6.364067921,5.868565864,5.541760555,4.870362325,4.430195583,3.634230057,2.576689767,2.528708921,2.979750774,3.330926876,3.963582765,3.555587693,2.802401433,1.735799042,0.850788436,0.730987844,-1.353649983,-1.09286925,-1.401290756,-1.207879066,-2.067878797,-3.131698852,-3.521883906,-4.067064314,-5.284483223,-6.149632245,1.223039783,1.435839671,1.578460018,2.123047809,1.895703968,0.423888841,-0.719482473,-2.331265273,-4.433694787,-5.4186444
